Date,DownstateNY_Bench,NorthNJ_Bench,UpstateNY_Bench,NY_Bench,NJ_Bench,PR_Bench,VI_Bench,NYC_Bench,LongIsland_Bench,PtnmRcklndWstchtr_Bench,Poughkeepsie_Bench,Kingston_Bench,BrgnHdsnPassc_Bench,NewBrunswick_Bench,Newark_Bench,Albany_Bench,Binghamton_Bench,Buffalo_Bench,Elmira_Bench,GlensFalls_Bench,Ithaca_Bench,Rochester_Bench,Syracuse_Bench,Utica_Bench,Watertown_Bench
01/31/2011,5912004.9648,2811221.8758,2209497.2295,8633382.4945,3833538.8181,921417.93212,43824.837202,3798897.1993,1240607.838,560781.3804,251819.04343,59899.503608,870365.26104,987108.18093,953748.43381,430802.92496,108936.92126,539404.47083,39455.131921,55063.011888,54115.258719,501180.74877,309500.24735,127957.09154,43081.422258
02/28/2011,5922205.9894,2809757.53,2209399.7849,8643639.7674,3834524.6103,922282.17903,44475.716157,3809445.2197,1240596.2058,560911.88529,251761.874,59490.804543,870567.06794,985531.05158,953659.41048,431596.47809,108066.46781,539683.38723,39531.906463,55170.895443,54171.52896,501162.86182,308869.19881,128416.48323,42730.577071
03/31/2011,5930834.4468,2813929.442,2207691.651,8651621.9372,3837844.4373,921445.57616,44393.424115,3815512.1296,1242725.2272,560910.34709,252071.95588,59614.787017,871216.44715,989343.28825,953369.70657,431142.05624,107840.40772,538536.20359,39552.761479,55229.852484,54278.771821,501536.70488,309352.85946,127944.91574,42277.117587
04/30/2011,5962629.6783,2817405.1844,2222287.2939,8695683.9408,3855709.5195,923805.69258,44288.791428,3837193.7323,1249834.8911,563032.71405,252806.96802,59761.372837,872150.20184,991137.38858,954117.59396,434047.76632,108062.26362,542186.74737,39713.858972,55193.73777,54528.374022,506143.58884,311823.23745,128039.3719,42548.347632
05/31/2011,5953863.756,2810401.2146,2212638.9741,8669040.5283,3841905.9493,920688.46326,43988.187841,3833820.4553,1247660.9676,561215.27677,251767.08031,59399.976047,870992.05629,988165.27037,951243.88796,432067.97245,107659.63605,540190.41276,39655.432752,54758.32645,54226.974327,504229.64411,309904.36287,127483.14147,42463.070919
06/30/2011,5963819.4147,2810386.0385,2217384.7161,8673309.968,3839505.2147,922185.96736,44131.456858,3837281.9997,1253200.9972,562526.75023,251494.10513,59315.562449,869857.98072,988618.50859,951909.5492,431696.54,108115.64424,540940.93567,39802.090251,55101.066504,54349.356004,505435.87633,311849.45538,127367.02637,42726.725319
07/31/2011,5983716.5875,2817823.4486,2220353.4763,8697663.796,3850672.6774,927647.57258,43764.249632,3852799.6029,1255881.1408,563582.85839,252198.68835,59254.297031,869893.33131,992160.94387,955769.17337,434652.32904,107795.379,540943.98359,39583.905676,55623.508221,54775.424253,506363.96947,310762.60695,127248.70251,42603.667629
08/31/2011,5990424.7428,2814558.1534,2220334.5335,8704804.2892,3844258.981,922497.46013,43727.180886,3862350.0742,1254646.4046,562115.19176,252041.98374,59271.088401,871267.61045,988625.44174,954665.10119,434085.89824,108036.48157,540187.23409,39873.185343,55995.030291,54459.223919,507479.23821,310451.11823,127199.09055,42568.033037
09/30/2011,5999490.338,2820817.4875,2225289.8221,8725132.9286,3853064.427,924146.90381,43660.134756,3869103.0805,1255270.7987,564105.60432,252063.99069,58946.863825,871647.35749,991179.42461,957990.70536,435237.68612,106728.19489,544565.33709,39517.564995,55651.125185,54403.709857,508498.45707,310472.63289,127811.69336,42403.420683
10/31/2011,5991085.3398,2822531.0522,2218129.0304,8720081.7807,3856143.5986,925064.42162,43080.801428,3864085.2425,1252846.7849,562889.2389,251870.87703,59393.196502,869383.10266,992519.27593,960628.6736,434908.93869,107672.437,540392.45949,39314.374808,55273.293333,54447.105916,507287.93879,309594.00171,127078.91019,42159.570491
